codistat,codprov_istat,segm3,km,casmez,year,index_stateint
36003,36,3,-280.2646512610144,0,1994,37.15461793541908
36003,36,3,-280.2646512610144,0,1996,37.28276515007019
36003,36,3,-280.2646512610144,0,2001,48.65611973404884
36003,36,3,-280.2646512610144,0,2006,65.70255124568939
36003,36,3,-280.2646512610144,0,2008,70.52966237068176
36003,36,3,-280.2646512610144,0,2013,31.72358499094844
36003,36,3,-280.2646512610144,0,2018,61.68037906289101
36004,36,3,-271.418099581423,0,1994,30.2374821305275
36004,36,3,-271.418099581423,0,1996,30.90761417150497
36004,36,3,-271.418099581423,0,2001,39.31156820058823
36004,36,3,-271.418099581423,0,2006,52.77643471956253
36004,36,3,-271.418099581423,0,2008,69.1056752204895
36004,36,3,-271.418099581423,0,2013,31.23991423100233
36004,36,3,-271.418099581423,0,2018,61.16276535391808
36005,36,3,-284.9404371096055,0,1994,35.26814914494753
36005,36,3,-284.9404371096055,0,1996,35.74883389472961
36005,36,3,-284.9404371096055,0,2001,48.22801798582077
36005,36,3,-284.9404371096055,0,2006,66.58554275333881
36005,36,3,-284.9404371096055,0,2008,71.18717312812805
36005,36,3,-284.9404371096055,0,2013,28.81093632802367
36005,36,3,-284.9404371096055,0,2018,61.77125999331474
36006,36,3,-260.760181655693,0,1994,37.30321164429188
36006,36,3,-260.760181655693,0,1996,38.13225817680359
36006,36,3,-260.760181655693,0,2001,50.21540609002113
36006,36,3,-260.760181655693,0,2006,68.23937991261482
36006,36,3,-260.760181655693,0,2008,71.31077027320862
36006,36,3,-260.760181655693,0,2013,31.92204896733165
36006,36,3,-260.760181655693,0,2018,61.07085394859314
36007,36,3,-264.1521774926548,0,1994,37.26391305029392
36007,36,3,-264.1521774926548,0,1996,36.93728792667389
36007,36,3,-264.1521774926548,0,2001,46.83901315927505
36007,36,3,-264.1521774926548,0,2006,62.737305149436
36007,36,3,-264.1521774926548,0,2008,69.3995349407196
36007,36,3,-264.1521774926548,0,2013,31.90305412560701
36007,36,3,-264.1521774926548,0,2018,61.59734827280045
36008,36,3,-260.5310317969232,0,1994,36.81789787113667
36008,36,3,-260.5310317969232,0,1996,35.63943922519684
36008,36,3,-260.5310317969232,0,2001,45.39706814289093
36008,36,3,-260.5310317969232,0,2006,61.82311654090881
36008,36,3,-260.5310317969232,0,2008,68.32621693611145
36008,36,3,-260.5310317969232,0,2013,34.901212092489
36008,36,3,-260.5310317969232,0,2018,61.19230091571808
36009,36,3,-281.2279372901762,0,1994,35.63357480615377
36009,36,3,-281.2279372901762,0,1996,35.14023339748383
36009,36,3,-281.2279372901762,0,2001,44.3468701839447
36009,36,3,-281.2279372901762,0,2006,60.12269830703735
36009,36,3,-281.2279372901762,0,2008,66.34466147422791
36009,36,3,-281.2279372901762,0,2013,30.54284835234284
36009,36,3,-281.2279372901762,0,2018,61.52127060294151
36010,36,3,-289.9191835276169,0,1994,34.54136811196804
36010,36,3,-289.9191835276169,0,1996,33.08358192443848
36010,36,3,-289.9191835276169,0,2001,44.36418595910072
36010,36,3,-289.9191835276169,0,2006,59.2857161462307
36010,36,3,-289.9191835276169,0,2008,66.45527029037476
36010,36,3,-289.9191835276169,0,2013,30.97551315277815
36010,36,3,-289.9191835276169,0,2018,61.49280720949173
36012,36,3,-266.9165828330678,0,1994,32.39186528325081
36012,36,3,-266.9165828330678,0,1996,33.28407716751099
36012,36,3,-266.9165828330678,0,2001,38.46995028853416
36012,36,3,-266.9165828330678,0,2006,53.35200816392899
36012,36,3,-266.9165828330678,0,2008,64.74849534034729
36012,36,3,-266.9165828330678,0,2013,34.84970861300826
36012,36,3,-266.9165828330678,0,2018,59.59637539088726
36013,36,3,-271.2284194351145,0,1994,33.83466650545597
36013,36,3,-271.2284194351145,0,1996,34.56861591339111
36013,36,3,-271.2284194351145,0,2001,44.12693190574646
36013,36,3,-271.2284194351145,0,2006,61.7137259542942
36013,36,3,-271.2284194351145,0,2008,69.7224805355072
36013,36,3,-271.2284194351145,0,2013,38.64777480810881
36013,36,3,-271.2284194351145,0,2018,59.73889577388763
36015,36,3,-271.7015054877295,0,1994,31.99415922909975
36015,36,3,-271.7015054877295,0,1996,32.35258889198303
36015,36,3,-271.7015054877295,0,2001,41.58520936965942
36015,36,3,-271.7015054877295,0,2006,57.11525920033455
36015,36,3,-271.7015054877295,0,2008,68.65485644340515
36015,36,3,-271.7015054877295,0,2013,36.44842272624373
36015,36,3,-271.7015054877295,0,2018,60.27121314406395
36017,36,3,-254.4173970188999,0,1994,33.27474883198738
36017,36,3,-254.4173970188999,0,1996,31.4770759344101
36017,36,3,-254.4173970188999,0,2001,37.50073778629303
36017,36,3,-254.4173970188999,0,2006,49.90276065468788
36017,36,3,-254.4173970188999,0,2008,64.80436706542969
36017,36,3,-254.4173970188999,0,2013,34.80869734473526
36017,36,3,-254.4173970188999,0,2018,59.61375556886196
36019,36,3,-267.1429398302217,0,1994,34.44911596179008
36019,36,3,-267.1429398302217,0,1996,34.14687895774841
36019,36,3,-267.1429398302217,0,2001,43.04429864883423
36019,36,3,-267.1429398302217,0,2006,58.98002371191978
36019,36,3,-267.1429398302217,0,2008,67.68181562423706
36019,36,3,-267.1429398302217,0,2013,38.05297043919563
36019,36,3,-267.1429398302217,0,2018,60.5141929090023
36020,36,3,-255.7524790109248,0,1994,37.2047031968832
36020,36,3,-255.7524790109248,0,1996,36.62636959552765
36020,36,3,-255.7524790109248,0,2001,45.88116538524628
36020,36,3,-255.7524790109248,0,2006,62.10379733890295
36020,36,3,-255.7524790109248,0,2008,65.51335549354553
36020,36,3,-255.7524790109248,0,2013,34.94717889092863
36020,36,3,-255.7524790109248,0,2018,60.28542831540108
36021,36,3,-279.8208561820232,0,1994,34.29344959184527
36021,36,3,-279.8208561820232,0,1996,35.26516354084015
